Var Plan,Sales Region,Period,IT Area,IT Sub Area,Country/Region
1730.1149999999943,Europe,7,Infrastructure,Data Centers,Netherlands
1636.0800000000015,Europe,11,Infrastructure,Data Centers,Austria
1618.209000000001,Europe,8,Enablement,EIM,Belgium
1605.1649999999936,Europe,12,Infrastructure,Data Centers,Austria
1551.9750000000022,Europe,11,Functional,R3,Switzerland
1494.9270000000106,Europe,8,BU Support,Development,United Kingdom
1487.6879999999985,Europe,6,Infrastructure,Data Centers,Netherlands
1469.9730000000018,Europe,5,Functional,R2,Belgium
1413.765,Europe,10,Infrastructure,Productivity,Portugal
1356.2609999999986,Europe,5,Infrastructure,Data Centers,Netherlands
1315.8420000000006,Europe,5,BU Support,Development,Spain
1280.3610000000044,Europe,2,BU Support,Development,United Kingdom
1243.3349999999998,Europe,9,Infrastructure,Productivity,Slovakia
1178.2080000000003,Europe,2,BU Support,Planning,Italy
1169.9850000000024,Europe,3,Infrastructure,Data Centers,Netherlands
1165.6770000000004,Europe,7,Enablement,EIM,Belgium
1132.161000000001,Europe,2,Infrastructure,Data Centers,Netherlands
1124.2080000000003,Europe,4,Infrastructure,Data Centers,Netherlands
1087.737,Europe,8,Infrastructure,Productivity,Czech Republic
1059.4919999999984,Europe,11,BU Support,Development,Spain
1042.1400000000067,Europe,10,Infrastructure,Data Centers,Austria
1037.472000000001,Europe,1,BU Support,Planning,Italy
1036.2030000000086,Europe,9,Infrastructure,Data Centers,Austria
930.774,Europe,12,Infrastructure,Productivity,Bosnia
884.5170000000003,Europe,1,Infrastructure,Data Centers,Netherlands
865.0710000000008,Europe,2,Functional,R2,Belgium
860.802000000024,Europe,8,Governance,Administration,Italy
812.2320000000072,Europe,7,Infrastructure,Data Centers,Austria
804.1740000000027,Europe,8,Functional,R3,Switzerland
804.1740000000027,Europe,9,Functional,R3,Switzerland
804.1740000000027,Europe,10,Functional,R3,Switzerland
796.3440000000046,Europe,8,Infrastructure,Data Centers,Austria
713.5830000000014,Europe,1,BU Support,Distribution,Belgium
637.5030000000006,Europe,3,Governance,GRC,France
