Var Plan,Sales Region,Period,IT Area,IT Sub Area,Country/Region
-14764.950000000004,Europe,2,Functional,R1,Germany
-14802.806999999972,Europe,6,Infrastructure,Productivity,Austria
-14815.01100000001,Europe,11,Enablement,Innovation,Austria
-14863.635000000017,Europe,10,Functional,R2,Spain
-15141.953999999998,Europe,4,Functional,R3,Switzerland
-15214.718999999996,Europe,3,Functional,R3,Switzerland
-15651.723,Europe,4,Enablement,Innovation,Austria
-15677.136,Europe,3,Infrastructure,Data Centers,Germany
-15750.0,Europe,4,BU Support,Production,Switzerland
-15867.320999999996,Europe,6,Functional,R2,Germany
-15981.290999999996,Europe,3,BU Support,Distribution,Spain
-16152.642,Europe,5,Functional,R3,Belgium
-16731.48,Europe,1,Infrastructure,Productivity,Austria
-16809.434999999998,Europe,4,Functional,R3,Belgium
-16854.738,Europe,2,Infrastructure,Data Centers,Germany
-17103.70499999998,Europe,12,Infrastructure,Data Centers,Spain
-17239.136999999988,Europe,7,Infrastructure,Productivity,Austria
-17254.94099999999,Europe,5,BU Support,R&D,Spain
-17276.688000000002,Europe,3,Functional,R3,Belgium
-17813.49900000001,Europe,3,BU Support,Distribution,France
-18041.802,Europe,1,Infrastructure,Productivity,Belgium
-18349.974,Europe,4,Infrastructure,Data Centers,Germany
-18485.754,Europe,4,BU Support,R&D,Spain
-18492.09299999999,Europe,8,Infrastructure,Data Centers,Spain
-18643.206,Europe,2,Governance,GRC,Italy
-18664.836,Europe,3,BU Support,Planning,France
-19008.588000000025,Europe,11,Functional,R2,Spain
-19234.803,Europe,9,Infrastructure,Data Centers,Spain
-19486.911,Europe,10,Enablement,Innovation,Austria
-19564.476,Europe,5,Enablement,Innovation,Austria
-19687.5,Europe,5,BU Support,Production,Switzerland
-20009.486999999976,Europe,4,Governance,Administration,Italy
-20122.176000000003,Europe,2,Governance,GRC,Spain
-20278.914,Europe,9,Enablement,Innovation,Austria
-20360.736000000004,Europe,5,Infrastructure,Data Centers,Germany
-20379.861000000004,Europe,5,BU Support,Distribution,France
-20449.227,Europe,4,BU Support,Distribution,Spain
-20881.389,Europe,1,BU Support,Manufacturing,Italy
-21063.60599999994,Europe,3,BU Support,Manufacturing,Ireland
-21342.618000000017,Europe,7,Infrastructure,Data Centers,Germany
-21436.305,Europe,8,Enablement,Innovation,Austria
-21546.761999999995,Europe,3,Governance,GRC,Italy
-21730.616999999984,Europe,6,BU Support,R&D,Spain
-21994.659,Europe,1,Infrastructure,Productivity,Ireland
-22070.25899999999,Europe,3,Functional,R1,Spain
-22366.554,Europe,7,Enablement,Innovation,Austria
-22529.736,Europe,2,Infrastructure,Productivity,Belgium
-22530.68400000001,Europe,4,Governance,GRC,Italy
-22611.839999999986,Europe,10,Enablement,EIM,Italy
-22985.883000000016,Europe,6,Infrastructure,Data Centers,Germany
-23065.788,Europe,5,Governance,GRC,Italy
-23075.723999999987,Europe,7,BU Support,R&D,Spain
-23093.253,Europe,3,Enablement,EIM,Italy
-23294.433000000023,Europe,12,Functional,R2,Spain
-23477.307,Europe,6,Enablement,Innovation,Austria
-23625.0,Europe,6,BU Support,Production,Switzerland
-23916.830999999976,Europe,8,BU Support,R&D,Spain
-23980.95300000004,Europe,6,Infrastructure,Productivity,Italy
-24346.112999999983,Europe,6,Governance,GRC,Italy
-24581.48399999999,Europe,4,BU Support,Planning,France
-24766.220999999976,Europe,3,Governance,Administration,Italy
-24850.031999999992,Europe,10,Infrastructure,Data Centers,Spain
-25085.315999999995,Europe,5,BU Support,Distribution,Spain
-25336.235999999983,Europe,9,Enablement,EIM,Italy
